Entity1,Entity2,Strength,Content
粉丝,工业明胶,1,后，姜宏战使用自刘明光处购买的工业明胶生产粉丝409.6吨并销售，销售金额131万余元。
猪头肉,工业明胶,1,其间，姜宏战还向被告人江崇雪转售工业明胶3.5吨用于生产猪头肉、猪拱，销售金额7万余元。
大葱,甲拌磷,1,　　案例7：种植大葱使用农药甲拌磷
牛肚,工业用火碱,1,　　案例9：用工业用火碱浸泡牛肚
面条汤料,罂粟壳,1,　　案例12：面条汤料中添加罂粟壳
牛奶,金黄色葡萄球菌,1,有研究者使用NASBA技术进行牛奶中金黄色葡萄球菌，检出限分别为1～10cfu/mL。
牛奶,沙门氏菌,1,Chunglok等人使用单层的碳纳米管作为抗固定化载体，检测了牛奶中的鼠伤寒沙门氏菌，检出限比其他免疫学方法低了2个log值。
肉制品,亚硝酸盐,1,肉制品的腌制过程中正确使用亚硝酸盐，不仅可以保证肉类的口感，而且可以使其在视觉上保持原来的鲜艳颜色，这是因为亚硝酸盐在酸性环境下发生化学反应，亚硝酸盐中的亚硝基在常温环境下可以快速与环境中的氧发生反应，将肌红蛋白分子中的二价铁离子进行置换，生成了一氧化氮肌红蛋白，含有丰富的铁离子，保持肉质的稳定性不容易被分解，所以即使在加热以后仍然可以保持红润色彩。
腌制食品,亚硝酸盐,1,亚硝酸盐的抗氧化作用是保证肉类腌制食品可以长时间保存的一个重要因素，因为普通的肉质在氧气环境下很容易发生脂质氧化作用而导致腐败，产生不良的气体甚至是有毒的物质，这是肉质变质的主要原因。
土豆粉,铝,1,　　2017年9月上旬，泾阳县公安局发现一个名为咸阳宣康食品加工厂的土豆粉生产黑作坊，经鉴定，作坊内提样的土豆粉铝超标6倍。
牛肉,菌落总数,1,　　海口市食药监局通报2017年查处七大典型案例，其中海口沐海人食品有限公司生产经营菌落总数不符合食品安全标准的卤制牛肉（五香味）被罚5.5万元。
花生,黄曲霉毒素,1,花生、玉米、坚果等食物中可能出现黄曲霉，它产生的黄曲霉毒素是臭名昭著的致癌物，不仅可能使人急性中毒甚至死亡，长期低剂量也会增加癌症风险。
花生,霉菌,1,花生、瓜子、榛子、松仁等果仁轻微变黄甚至发黑、味苦，皱皮变色，谷物表面上长有黄绿色霉菌或破损、皱缩、变色，即表明霉变了。
鸡蛋,发霉,1,遭到雨淋或受潮的鸡蛋，蛋壳表面的保护膜会被洗掉，细菌侵入蛋内导致变质，蛋壳表面也会发霉，出现黑斑点，这种鸡蛋要直接扔掉。
火腿,发霉,1,保藏期内的温度、湿度过高，会使火腿表面发霉。
馒头,霉菌,1,馒头受到霉菌污染，会长出肉眼可以看到的“毛”。
乳品,沙门氏菌,1,    因为在生产中被沙门氏菌污染，并在消费阶段导致婴儿的感染，法国乳品巨头拉克塔利斯集团在多国范围内召回问题乳粉，其中包括中国。
面包,霉菌,1,在面包制造厂的搅拌机的外壁上, 可发现黑色斑点状的霉菌, 此类霉菌为壳粉原料中的主要霉菌———曲霉。
猪肉,亚硝酸盐,1,该县表示，经调查，事件是由于1月20日该幼儿园负责人白玉霞用自行购买的2两亚硝酸盐(当地村民过年传统方法烹烧猪肉常用的材料，民间俗称火硝)，在幼儿园食堂加工春节自用肉食后，将剩余的不足1两亚硝酸盐留在幼儿园食堂厨房。
蛋糕,菌落总数,1,（四）天猫惠家旗舰店（经营者为泉州惠家食品有限公司）在天猫（网站）销售的标称福建惠家食品有限公司生产的惠家蒸蛋糕（香浓原味），菌落总数5次检出值分别为1700000CFU/g、1900000CFU/g、1300000CFU/g、1600000CFU/g、2600000CFU/g，不符合国家标准规定的菌落总数5次检测结果均不得超过100000CFU/g且至少3次检测结果不得超过10000CFU/g。
面包,过氧化值,1,（五）华润万家生活超市（浙江）有限公司杭州金沙大道店销售的标称北京禾格佳尚进出口有限公司代理、Quely，S.A.生产的桂力橄榄油面包条（原产国：西班牙），过氧化值（以脂肪计）检出值为0.53g/100g，比国家标准规定（不超过0.25g/100g）高出1.12倍。
内酯豆腐,大肠菌群,1,（六）北京华冠商业科技发展有限公司购物中心销售的标称北京二商希杰食品有限责任公司生产的白玉内酯豆腐，大肠菌群5次检出值分别为13000CFU/g、13000CFU/g、13000CFU/g、13000CFU/g、13000CFU/g，不符合国家标准规定的大肠菌群5次检测结果均不得超过1000CFU/g且至少3次检测结果不得超过100CFU/g。
鸡蛋,氟苯尼考,1,（七）四川省成都市双流区西航港街道大同路二段成都农产品中心批发市场成都佳家欢农产品有限公司销售的来自成都福久康农副产品有限公司的鸡蛋，氟苯尼考检出值为0.64μg/kg。
菠菜,毒死蜱,1,（八）广州市白云区广州江南果菜批发市场经营管理有限公司（鲜菜区335档）销售的来自广州市白云区广州江南果菜批发市场常青园果菜的菠菜，毒死蜱检出值为0.62mg/kg，比国家标准规定（不超过0.1 mg/kg）高出5.2倍。
小青菜,啶虫脒,1,（九）陕西省西安市长安区郭杜产业开发区陕西朱雀农副产品物流有限公司（经营者：孙景民）销售的小青菜（普通白菜），啶虫脒检出值为1.44mg/kg，比国家标准规定（不超过1 mg/kg）高出44.0%；氟虫腈检出值为0.045 mg/kg，比国家标准规定（不超过0.02 mg/kg）高出1.25倍。
葡萄酒,二氧化硫,1,亚硫酸盐，包括二氧化硫用于多种产品如柠檬汁、水产品、蔬菜、糖蜜、葡萄酒、果脯和果。
糕点,偶氮甲酰胺,1,报道称：“某咖啡连锁店承认在中国所售糕点含致癌橡胶鞋底原料（偶氮甲酰胺）……
面粉,偶氮甲酰胺,1,食品与营养信息交流中心科学技术部主任阮光锋发文称，偶氮甲酰胺是一种食品添加剂，用于面粉的漂白和氧化，常作为面粉増筋剂使用。
面包,发霉,1,安女士近日在麦德龙京顺路商场购买面包，回家后发现面包发霉。
开心果,霉菌,1,（一）京东尚珍旗舰店（经营者为天津朝批商贸有限公司）在京东商城（网站）销售的标称北京尚珍食品有限公司生产的开心果，霉菌检出值为30 CFU/g，比国家标准规定（不超过25 CFU/g）高出20.0%。
开心果,大肠菌群,1,（二）家乐福自营（经营者为家乐福（上海）电子商务有限公司）在家乐福（网站）销售的标称上海佳时食品有限公司委托浙江佳时食品有限公司生产的开心果（分装），大肠菌群5次检出值分别为75 CFU/g、22 CFU/g、40 CFU/g、140 CFU/g、＜10 CFU/g，不符合国家标准规定的大肠菌群5次检测结果均不得超过100 CFU/g且至少3次检测结果不超过10 CFU/g。
韭菜,克百威,1,（七）广州市白云区广州江南果菜批发市场经营管理有限公司（鲜菜区531档）销售的韭菜，克百威检出值为0.210mg/kg，比国家标准规定（不超过0.02 mg/kg）高出9.5倍。
菠菜,毒死蜱,1,（八）广州市白云区广州江南果菜批发市场经营管理有限公司（鲜菜区219档）销售的菠菜，毒死蜱检出值为0.18mg/kg，比国家标准规定（不超过0.1 mg/kg）高出80.0%。
韭菜,腐霉利,1,（九）河南省郑州市中牟县万邦物流园（经营者：吕卫华）销售的韭菜，腐霉利检出值为0.44mg/kg，比国家标准规定（不超过0.2 mg/kg）高出1.2倍。
牛肉,克伦特罗,1,（十）吉林省长春市绿园区青岗路69号粮油市场绿园区商二牛肉摊床销售的来自吉林省德惠市虹翔肉牛屠宰场的牛肝，克伦特罗检出值为5.76μg/kg。
火腿,过氧化值,1,    过氧化值代表脂肪的氧化程度，金华火腿在腌制加工过程中，其脂肪在热、光、金属离子及微生物等催化剂的作用下会被氧化，产生一系列氧化物而引起产品变质。
火腿,亚硝酸盐,1,    为了使金华火腿呈现和保持良好的色泽，企业普遍在腌制配料中添加了亚硝酸盐来达到发色、防腐、改善风味和提高肉品质量的目的，使火腿肉色鲜红，不易变质。
火腿,敌敌畏,1,金华市永泰、旭春两家火腿厂曾用剧毒农药敌敌畏浸泡火腿防止蚊蝇和生蛆，生产“反季节腿”的恶性事件曝光后，享有千年美誉的“金华火腿”遭遇了前所未有的信任危机，退货风潮使金华火腿的生产、销售遭受到前所未有的沉重打击，曾经火爆一时的金华火腿市场一度门可罗雀，销量急剧下降，半数工厂停产，全行业大面积亏损，金华火腿的出口和内销均受到了重创，甚至相关养猪农户及饲料经营者都受连累。
鳗鱼,孔雀石绿,1,业者出面澄清，鳗鱼加工后陆续验出孔雀石绿药物残留，已全数退货，并无流入市面。
白酒,塑化剂,1,4月28日，记者从自治区食品药品监督管理局了解到，国家和自治区风险监测、监督抽查结果表明，我区部分白酒生产企业存在超范围、超限量使用食品添加剂、塑化剂污染、虚假标注等问题。
猪肉,瘦肉精,1,4、通州“注水肉”黑窝点千斤猪肉被检出含瘦肉精
生猪肉,瘦肉精,1,6月18日，北京市食品药品稽查总队对通州“注水肉”黑窝点进行查抄，查获近千斤生猪肉，同时被检出含瘦肉精。
饼干,大肠菌群,1,3、广东销毁630箱印尼进口饼干 原因大肠菌群超标
饼干,大肠杆菌,1,据报道，6月23日，广东中山检疫局依法销毁630箱印尼进口饼干，原因被检出大肠杆菌超标，存在食物中毒和流行病的威胁，违反了中国食品安全标准。
饼干,焦亚硫酸钠,1,相对的，饼干松化剂中含有禁止在坚果炒货中添加使用的焦亚硫酸钠，在坚果炒货的生产中，就不得选用饼干松化剂。
壳杏仁,柠檬黄,1,2010年，壳杏仁的销路很好，我市很多坚果炒货企业为了增加壳杏仁的色度，在炒货中添加使用柠檬黄。
牛奶,黄曲霉毒素,1,2006年，中国疾病预防控制中心营养与食品安全所调查，江苏、上海等九省市市售玉米中AFB1的检出率为70.27%，平均含量和最高含量分别为36.51μg/kg和1098.36μg/kg，分别是国家限量标准的1.8倍和54.9倍(国家限量标准AFB1≤20μg/kg);教育部动物抗病营养重点实验室调查发现，2008—2009年度全国11个省的1081份饲料样品DON毒素(Deoxynivalenol)检出率为95.8%，超标率17.7%(国家限量标准≤1mg/kg);2011年底，蒙牛牛奶黄曲霉毒素M1超标
花生,黄曲霉毒素,1,欧盟委员会早在10多年前就通过了1525/98号指令，公布了欧盟国家食品中黄曲霉毒素的最高限量标准：人类直接食用的花生及其制品中黄曲霉毒素总量(B1+B2+G1+G2)从20μg/kg降到4μg/kg，其中B1≤2μg/kg，该黄曲霉毒素B1标准限量是我国标准限量的1/10。
西瓜,大肠菌群,1,　　结果显示，有保鲜膜冷藏的西瓜未检出大肠菌群;无保鲜膜冷藏的半块西瓜的大肠菌群是160mpn/100g。
西瓜,菌落总数,1,同时，无保鲜膜冷藏的西瓜菌落总数为20000cfu/g，是有保鲜膜西瓜样品菌落总数的20多倍。
馒头,柠檬黄,1,上海发生的染色馒头，加了柠檬黄，柠檬黄不可能多加，柠檬黄是一种色素，色素的颜色取决于浓度，柠檬黄多加了，就不会是生产者想要的黄色。
猪肉,瘦肉精,1,大剂量用瘦肉精在饲料中可以促进猪的增长，减少脂肪含量，提高瘦肉率，但食用含有瘦肉精的猪肉对人体有害。
肉制品,瘦肉精,1,据介绍，瘦肉精在我国已经禁用，按照国家相关规定，瘦肉精在肉制品中的检出率应该为零。
白酒,甜蜜素,1,1. 标称山西省汾阳市杏花村镇晋裕白酒公司生产的，北京阳光航线商贸有限公司经营的得造花香酒，不合格项目为甜蜜素，经检测实测值为0.000242 g/kg，标准值规定为不得检出。
肉制品,铅,1,2.标称北京祥隆宫食品有限公司生产的牛仔板筋（酱卤肉制品），不合格项目为铅（以Pb计），经检测实测值为0.74 mg/kg，标准值规定为0.5 mg/kg。
酒类,甜蜜素,1,《食品安全国家标准 食品添加剂使用标准》（GB 2760-2014）中规定，酒类中不得使用甜蜜素。
牛奶,三聚氰胺,1,　　牛奶中的三聚氰胺
月饼,塑化剂,1,    还有调查发现，月饼托中含有大量塑化剂，最高超标800倍。
酱油,苯甲酸,1,　　王竹天介绍，这款软件的主要作用是：输入某种食品添加剂的名字，比如“苯甲酸”，系统会马上回复“苯甲酸”可以在哪些食品中使用，使用多大量;输入某种食品名称，比如“酱油”这个词，立即就能查出在酱油中能够安全使用哪些食品添加剂。
猪肉,瘦肉精,1,　　2011年3月15日，由于央视披露了河南济源双汇公司使用瘦肉精猪肉的事实，河南焦作市中级人民法院分别以危害公共安全罪、玩忽职守罪依法对8名被告人当庭作出一审判决。
大米,黄曲霉毒素,1,假如中国的肝病高发省份居民，家备一台黄曲霉毒素快检仪，专门检测花生油、大米等食品，防止“黄曲霉毒素从口入”，从而免受肝病之困扰，快检产品是否成为了消费者的最爱?
肉制品,亚硝酸盐,1,    亚硝酸盐是自然界中普遍存在的一类含氮无机化合物，其外观与食盐类似，呈白色至淡黄色，粉末或颗粒状，无臭，味微咸，易潮解和溶于水；可作为食品添加剂应用于肉制品中。
乳品,三聚氰胺,1,据悉，三聚氰胺事件前，我国拥有1600～1700家乳品企业，经过整治，目前中国乳品企业约为600家，其中超过百亿的企业3家，超过20亿的企业接近10家，约20家的企业占据整个乳品市场份额的90%。
食品动物,大肠杆菌,1,      他介绍说，从动物源细菌耐药性现状上看，目前已经发现了可转移的黏菌素耐药基因mcr-1，并且在食品动物中发现了携带NDM的超级细菌，在鸡、猪源肠道菌中检出了NDM-1、NDM-5、NDM-9，并且从鸡源大肠杆菌中发现了一种变异性NDM（NDM-17），可导致菌株更高水平耐药。
面制品,铝,1,数据显示，我们吃进去的铝主要来自含铝食品添加剂，它们主要用作面制品的膨松剂、海蜇加工的固化剂、食物配料粉的抗结剂以及色素的载体。
面制品和膨化食品,铝,1,为进一步控制铝的摄入，政府管理部门对标准进行了相应修订，重点是控制面制品和膨化食品中铝的含量。
膨化食品,铝,1,马宁最后强调，消费者应当保持均衡饮食，以免因偏食而摄入过多的铝；要正确引导儿童的膳食消费，适量食用膨化食品；另外减少海蜇食用频次，在食用前应反复浸泡、清洗。
蜜饯,二氧化硫,1,《食品安全国家标准 食品添加剂使用标准》（GB 2760-2014）中规定水果干类二氧化硫残留量不得超过0.1 g/kg，蜜饯凉果类二氧化硫残留量不得超过0.35 g/kg。
面包,发霉,1,如不冷却，热量散发不出来，包装后易使面包发霉变质，造成损失。
大米,镉,1,像镉大米的问题，辣椒红素中罗丹明B源于本底物质的富集问题，水产品污染问题，均源于此。
蜂蜜,苯甲酸,1,    从不合格食品名单中发现，标注邯郸市海增食品有限公司生产的海增酱香芥丝（650克/袋20140316）、标注潮安县雅利来食品有限公司生产的雅利来九制应子（凉果类）（110克/袋20131102）、标注广东西琪食品有限公司生产的仟客九制榄（210克/袋20140102）、标注邯郸市海增食品有限公司生产的海增酱香芥条（750克/袋20140228）、标注沧州永胜果品有限公司生产的海天山庄蜂蜜加应子（80g/袋2014-1-10），被检出苯甲酸超标。
花生,过氧化值,1,    另外，在北京京顺美廉美超市有限公司仁和超市发现标注浙江恒泰食品有限公司生产的一款“香QQ” 香辣花生（烤鸡味）（110g/袋 2014.1.17），过氧化值、 酸价超标。
调味品,铝,1,题目：1. 中国传统调味品酿造的绿色发酵技术；2. 酵母抽提物（YE）对持续鲜味构建的贡献；3. 降盐增鲜、清洁标签等健康生活调味国际发展趋势探讨；4. 传统主食铝超标的解决方法
乳品,三聚氰胺,1,“曾经出现的大头娃娃、三聚氰胺、原料奶标准之争，引发消费者经历了从疑虑到震惊，到愤怒直至用脚选择这样不断递加的不信任感，因此尽管中国政府对乳品企业的监管是全球最严的：2015年抽检数据表明，乳制品合格率99.6%安全水平位列中国食品行业之首。
乳品,三聚氰胺,1,中国食品科学技术学会理事长孟素荷在大会致辞中表示，今年是“三聚氰胺事件”发生十周年，反思十年前事件发生后，当时带给我们最大的震撼是，一个高速发展、体量庞大的中国乳品工业，其安全基础竟如此脆弱。
肉制品,亚硝酸盐,1,　　中国工程院院士孙宝国指出，尽管大剂量亚硝酸盐对人体有害，但如果用量合适，不会引起毒性，同时又把更毒的细菌抑制了，因此各国都允许在熟食或肉制品里面添加亚硝酸盐。
酱油,苯甲酸,1,　　例如，输进去“苯甲酸”这3个字， 马上就能查询出苯甲酸可以在哪些食品中使用、使用多大量;输入“酱油”这个词，立即就能查出在酱油里面能够使用多少食品添加剂。
牛肉,大肠杆菌,1,　　回顾美国九十年代初期的一起严重食品安全事件，当时，一些牛肉被大肠杆菌的O157：H7的致病菌所污染，用这些牛肉做成的食品引起了一场大规模食源性疾病暴发，对消费者，尤其是儿童的健康造成了严重危害。
月饼,发霉,1,而生产时的烘烤，月饼中心温度一定要达到80摄氏度以上，否则容易发霉，而这是家用小烤箱无法做到的。
米线,焦亚硫酸钠,1,2014年3月，昆明市质量技术监督局西山分局、西山公安分局经侦大队执法人员，前往碧鸡街道办事处长坡社区联排村突击检查米线生产作坊，查出含大量焦亚硫酸钠的有毒米线。
米线,二氧化硫,1,昆明市质量技术监督局西山分局在对宁德省生产、销售的米线进行检验后，从中检出二氧化硫。
绿茶,铅,1,　　从统计结果来看，近几年名优绿茶产品不符合项目主要是水分，总灰分，铅和农残这几个项目。
茶叶,铅,1,铅是茶叶的卫生指标，也是直接关系人的身体健康的一个重要质量指标，长期饮用铅超标的茶叶会严重危害人们的身体健康。
大米,镉,1,　　“镉大米”让消费者惶恐不安，信息披露成“挤牙膏” 2013年5月，湖南省攸县3家大米厂生产的大米在广东省广州市被查出镉超标事件经媒体披露。
花生,发霉,1,这些食源性疾病和黄曲霉素有些是因为食品受污染所致，有些是因食物霉变所致，这些病菌对人们的身心健康构成的威胁十分严重，如黄曲霉素，在发霉的花生中十分常见，目前，以PCR为代表的分子生物学技术以及自动化仪器的迅速发展推动了微生物检测技术的进步，目前使用的酶联免疫试剂盒在食源性病毒的检测方面取得了明显的效果。
凉皮,罂粟壳,1,以往的查处情况显示，添加使用罂粟壳(粉)的不法行为主要存在于小餐馆、火锅店、烧烤店、麻辣烫店、凉皮店、小吃店等餐饮场所。
调味品,罂粟壳,1,　　罂粟壳不是调味品，而是严禁使用的添加剂，然而长期以来，我国餐饮行业在食品中添加罂粟壳或罂粟粉已不是新鲜事。
白酒,氰化物,1,这次约谈的主要是涉及亳州、淮北、芜湖、宣城四市的9家白酒企业，抽查发现的主要问题主要集中在氰化物含量超标。
银耳,二氧化硫,1,在5种不合格食品中，由福建古田兴宇食用菌批发商行提供的银耳二氧化硫超标最明显，达到了标准值最高限的19倍。
腐竹,吊白块,1,　　除了桶装水，昨天公布的不合格名单中，还发现标称菏泽开发区鼎都食品有限公司3月1日生产的“鼎都”亚峰腐竹，检出国家严禁食品中使用的“吊白块”。
月饼,菌落总数,1,     　　原标题：“北京好利来”月饼被曝菌落总数超标
茶叶,稀土,1,资料显示，茶叶中稀土超标与土壤和后期施加的农药化肥有关，过量摄入可能会给人体健康或体内代谢产生不良后果，包括影响大脑功能，加重肝肾负担，影响女性生育功能等。
饮用纯净水,菌落总数,1,　　此次专项检查共检查全市纯净水生产企业44家，监督抽样了44批次桶装饮用纯净水，合格率达80%，不合格的9批次主要是菌落总数超标。
白酒,塑化剂,1,在被曝光两年之后,今年6月国家卫计委关于白酒塑化剂的风险评估结果出来,认为对饮酒者的健康风险处于“可接受水平”。
豆制品,菌落总数,1,记者梳理发现，近年来豆制品频繁因“菌落总数”超标上黑名单，且湖南本土多个知名品牌悉数在列，如“步步为赢”、“简四毛”、“湘飘飘”等。
包装饮用水,菌落总数,1,《征求意见稿》编制说明指出，“国际瓶装水协会(IBWA)、美国食品药品监督管理局(FDA)及日本均未对包装饮用水菌落总数提出要求”。
大米,镉,1,　　近年来，各地又不断曝出镉大米、毒生姜等新的食品安全事件，网购食品成为潮流、婴幼儿食品质量问题频发。
猪肉,瘦肉精,1,大剂量用瘦肉精在饲料中可以促进猪的增长，减少脂肪含量，提高瘦肉率，但食用含有瘦肉精的猪肉对人体有害。
肉制品,瘦肉精,1,据介绍，瘦肉精在我国已经禁用，按照国家相关规定，瘦肉精在肉制品中的检出率应该为零。
油条,铅,1,比如油条、河粉、皮蛋、爆米花，其实涉及的是铅等重金属在制作中含量超标后的危害。
花生,霉菌,1,黄曲霉菌可以在很多作物上生长，花生就是其中之一，受霉菌感染的花生榨油后，油里就有黄曲霉素，但不能说这种油是地沟油。
生鲜乳,瘦肉精,1,建立畜牧企业信息化管理档案，实施网格化监管，做好监督抽检、日常巡查和专项整治，共抽检畜产品、饲料、生鲜乳、兽药等810批次，深入开展瘦肉精、生鲜乳、兽药等专项整治，共检查生猪、肉牛、肉羊养殖户7000余户，查办违法案件17起。
牛肉,罂粟壳,1,三是餐饮食品环节，开展了春节期间餐饮食品安全、散装白酒、牛肉及冻品、食品中非法添加罂粟壳、春季和夏季学校食堂、中高招食品安全保障、“餐饮环节大清查”、夏季“双创”食品安全创建等专项整治活动，开展抽检和风险监测1350批次，合格样品980批，检出不合格样品125批。
面粉,铝,1,　　“这种名为‘泡打粉’的食品添加剂主要成分是硫酸铝铵,问题包子铺将其直接掺入发面的面粉中,造成包子皮中的铝含量严重超标,而我国规定包子中不允许检出铝元素。”
西瓜,大肠菌群,1,　　结果显示，有保鲜膜冷藏的西瓜未检出大肠菌群;无保鲜膜冷藏的半块西瓜的大肠菌群是160mpn/100g。
西瓜,菌落总数,1,同时，无保鲜膜冷藏的西瓜菌落总数为20000cfu/g，是有保鲜膜西瓜样品菌落总数的20多倍。
餐具,大肠杆菌,1,此外经抽检，该单位的餐具均检测出大肠杆菌。
牛肉,金黄色葡萄球菌,1,　　2012年2月，市食药监局执法人员通过监督抽检发现，市区一所酒店加工经营的盐水鹅、牛肉检出致病性微生物——金黄色葡萄球菌。
猪肉,氯霉素,1,     　　7月28日，国家食药监总局公布了11批次畜禽肉不合格食品名单，其中，雏鹰农牧集团郑州商贸有限公司生产的猪肉检出禁用兽药氯霉素。
牛奶,三聚氰胺,1,　　我们都知道奶粉中缺少了蛋白，出现了阜阳大头娃娃事件;牛奶中缺蛋白，出现了三聚氰胺事件。
猪肉,瘦肉精,1,　　答：过去一年，在巩固近年来打击瘦肉精、地沟油、病死猪、毒胶囊等突出食品药品犯罪取得成效的基础上，针对一些重点领域、重点环节违法犯罪仍然突出的形势，公安部部署全国公安机关开展了为期1年的打击食品药品犯罪深化年活动，坚持因地制宜、重拳出击、精准打击，全年共侦破食品药品案件2.1万起，抓获犯罪嫌疑人近3万名，重点督办侦破了一批制售病死猪肉案、非法添加违禁物质案、跨国制售假药案等大案要案，有力打击了食品药品犯罪分子的嚣张气焰，回应了百姓关切。
面包,发霉,1,　　“因为面包发霉是一个量变到质变的一个过程，在表面出现明显的霉点之前，里面可能已经变质了。”
面包,发霉,1,　　最近，一种现象引来了市民的质疑，从大型超市购买来的面包，过了保质期1个月却没有腐坏发霉。
